vendor_id,vendor_name,capacity_contract_ratio,subcontract_share,yard_footprint_log,tech_staff_per_m,jqs_depth,expat_ratio,ncdf_compliance,prior_delivery,is_front
V0510,Seabright Petroleum Group Ltd.,1.368,0.596,4.092,1.655,5.209,0.289,0.825,3.0,0
V0511,Anchor Energy Partners Ltd.,0.5,0.339,3.824,1.437,5.707,0.23,0.972,5.0,0
V0512,Pinnacle Integrated Solutions Ltd.,1.544,0.248,4.649,1.889,4.275,0.276,0.836,2.0,0
V0513,Westgate Industrial Nig. Ltd.,0.951,0.43,2.485,2.623,6.903,0.148,0.971,3.0,0
V0514,Oceanic Offshore Partners Ltd.,1.153,0.469,2.33,3.762,5.27,0.228,0.733,0.0,0
V0515,Highland Integrated Partners Ltd.,0.551,0.534,2.042,1.371,2.982,0.293,0.399,0.0,1
V0516,Oceanic Pipeline Company Ltd.,0.375,0.475,2.043,0.839,7.449,0.261,0.82,2.0,1
V0517,Southfield Pipeline Partners Ltd.,0.639,0.348,2.453,5.242,6.964,0.31,0.678,1.0,0
V0518,Vanguard Drilling Services Ltd.,0.909,0.544,3.072,1.746,3.729,0.27,0.695,5.0,1
V0519,Bonny Fabrication Systems Ltd.,0.417,0.429,4.162,3.575,3.943,0.406,0.738,4.0,0
V0520,Highland Integrated Company Ltd.,0.05,0.44,2.874,0.036,3.411,0.423,0.63,1.0,1
V0521,Akwa Process Systems Ltd.,0.885,0.412,5.6,2.286,2.596,0.114,0.917,0.0,0
V0522,Delta Industrial Partners Ltd.,0.509,0.597,3.632,1.882,2.073,0.132,0.893,5.0,0
V0523,Pinnacle Engineering Group Ltd.,1.475,0.485,2.856,2.803,14.357,0.153,0.788,8.0,0
V0524,Westfield Subsea Partners Ltd.,0.956,0.641,3.132,2.995,8.42,0.127,0.671,7.0,0
V0525,Westgate Offshore Company Ltd.,1.454,0.547,2.822,4.439,3.926,0.128,0.74,6.0,0
V0526,Anchor Industrial Ltd.,0.534,0.918,1.859,1.863,4.815,0.569,0.631,0.0,1
V0527,Summit Fabrication Company Ltd.,1.39,0.413,3.798,2.61,10.498,0.291,0.49,4.0,0
V0528,Warri Drilling Nig. Ltd.,0.947,0.285,4.719,2.954,11.526,0.296,0.859,3.0,0
V0529,Atlas Process Company Ltd.,1.185,0.994,3.825,2.204,1.216,0.527,0.384,0.0,1
V0530,Pinnacle Technical Group Ltd.,1.22,0.494,3.395,4.295,10.627,0.3,1.0,4.0,0
V0531,Brass Petroleum Ltd.,0.618,0.152,3.64,4.688,7.304,0.282,0.303,10.0,0
V0532,Delta Marine Services Ltd.,1.108,0.316,5.595,4.013,8.475,0.354,0.707,3.0,0
V0533,Beacon Petroleum Ltd.,0.436,0.524,4.336,3.402,7.452,0.272,1.0,6.0,0
V0534,Eastport Fabrication Solutions Ltd.,1.524,0.445,3.682,2.559,10.595,0.268,0.853,6.0,0
V0535,Anchor Integrated Nig. Ltd.,1.399,0.687,3.862,1.569,3.682,0.488,0.809,2.0,1
V0536,Pinnacle Offshore Solutions Ltd.,0.486,0.603,3.771,2.001,0.0,0.158,0.683,6.0,0
V0537,Beacon Drilling Company Ltd.,1.299,0.415,2.026,4.36,0.709,0.434,0.77,0.0,0
V0538,Riverside Offshore Services Ltd.,0.05,0.262,3.364,1.744,6.328,0.276,0.682,1.0,0
V0539,Summit Fabrication Partners Ltd.,0.73,0.464,3.866,2.661,9.862,0.238,0.516,7.0,0
V0540,Delta Pipeline Nig. Ltd.,0.05,0.421,4.44,0.0,10.398,0.251,0.609,8.0,0
V0541,Brass Industrial Ltd.,1.156,0.675,1.939,2.188,10.22,0.132,0.753,2.0,0
V0542,Atlas Technical Solutions Ltd.,0.143,0.672,3.724,0.711,0.264,0.449,0.4,0.0,1
V0543,Rivers Offshore Solutions Ltd.,1.086,0.492,3.794,2.289,5.12,0.316,0.641,1.0,1
V0544,Gulf Technical Services Ltd.,0.879,0.377,3.899,3.641,10.191,0.072,0.685,5.0,0
V0545,Riverside Process Services Ltd.,0.254,0.635,3.457,1.348,6.258,0.384,0.748,3.0,1
V0546,Eastport Maritime Solutions Ltd.,1.213,0.571,3.985,3.372,6.01,0.208,0.825,1.0,0
V0547,Vanguard Fabrication Group Ltd.,1.244,0.99,3.829,2.758,11.322,0.262,0.644,1.0,1
V0548,Westgate Offshore Nig. Ltd.,0.654,0.483,3.241,1.898,4.198,0.512,0.608,4.0,1
V0549,Bonny Petroleum Systems Ltd.,0.412,0.257,3.455,2.267,8.752,0.15,0.559,6.0,0
V0550,Crestline Engineering Solutions Ltd.,2.23,0.378,2.604,0.975,11.296,0.228,0.514,5.0,0
V0551,Onne Oilfield Group Ltd.,1.208,0.449,4.555,4.464,10.688,0.166,0.979,9.0,0
V0552,Niger Oilfield Group Ltd.,0.447,0.513,2.991,4.262,6.71,0.156,0.807,2.0,0
V0553,Crestline Process Solutions Ltd.,1.06,0.457,3.414,2.557,7.82,0.37,0.595,3.0,0
V0554,Meridian Oilfield Group Ltd.,1.261,0.342,4.115,3.151,7.767,0.363,0.877,9.0,0
V0555,Escravos Industrial Partners Ltd.,0.079,0.849,1.618,0.724,0.445,0.464,0.265,2.0,1
V0556,Highland Oilfield Ltd.,0.05,0.991,2.002,0.669,0.0,0.472,0.591,2.0,1
V0557,Gulf Fabrication Systems Ltd.,1.021,0.293,3.577,3.273,9.685,0.0,0.956,2.0,0
V0558,Atlas Industrial Solutions Ltd.,1.059,0.604,2.221,2.274,8.259,0.373,0.73,4.0,0
V0559,Atlas Subsea Solutions Ltd.,0.734,0.583,2.463,1.785,10.68,0.211,0.966,0.0,1
V0560,Southfield Subsea Ltd.,2.333,0.572,3.608,1.186,4.638,0.294,0.862,0.0,0
V0561,Calabar Oilfield Solutions Ltd.,0.463,0.422,3.022,0.756,2.131,0.287,0.676,3.0,0
V0562,Vanguard Engineering Systems Ltd.,1.666,0.447,4.138,3.732,3.671,0.172,0.959,4.0,0
V0563,Southfield Fabrication Systems Ltd.,0.115,0.77,2.828,0.0,1.758,0.513,0.283,0.0,1
V0564,Coastline Pipeline Partners Ltd.,0.63,0.391,3.721,0.743,4.316,0.138,0.833,8.0,0
V0565,Eastport Drilling Ltd.,0.465,0.779,2.061,2.357,6.816,0.269,0.611,6.0,0
V0566,Northgate Offshore Systems Ltd.,0.215,0.614,2.731,1.122,4.258,0.175,0.646,4.0,0
V0567,Westgate Subsea Company Ltd.,0.94,0.12,4.506,1.246,7.608,0.037,0.595,9.0,0
V0568,Qua Iboe Energy Services Ltd.,0.446,0.708,2.376,2.287,0.0,0.358,0.358,3.0,1
V0569,Niger Subsea Ltd.,1.398,0.303,2.942,3.923,4.411,0.0,0.846,3.0,0
V0570,Bayelsa Oilfield Partners Ltd.,0.847,0.773,3.768,3.772,6.088,0.399,0.686,3.0,1
V0571,Summit Subsea Solutions Ltd.,1.314,0.846,4.471,2.777,4.445,0.0,0.575,5.0,0
V0572,Trident Industrial Solutions Ltd.,0.775,0.696,4.287,1.748,6.325,0.214,0.465,5.0,1
V0573,Eastport Engineering Group Ltd.,1.119,0.218,3.235,1.326,4.121,0.2,0.409,2.0,0
V0574,Delta Offshore Systems Ltd.,1.079,0.295,3.271,3.313,8.524,0.184,0.663,11.0,0
V0575,Harcourt Integrated Partners Ltd.,0.78,0.869,3.142,2.066,3.02,0.067,0.633,1.0,1
V0576,Delta Drilling Partners Ltd.,0.637,0.871,1.429,0.799,3.02,0.731,0.14,0.0,1
V0577,Eastport Fabrication Services Ltd.,0.05,0.576,2.627,2.472,11.311,0.283,0.811,0.0,0
V0578,Escravos Integrated Group Ltd.,1.066,1.0,2.095,1.16,3.19,0.266,1.0,0.0,1
V0579,Harcourt Maritime Partners Ltd.,1.069,0.67,3.321,0.0,6.849,0.3,0.774,4.0,1
V0580,Anchor Petroleum Services Ltd.,0.552,0.339,4.027,2.858,4.557,0.351,0.646,5.0,0
V0581,Trident Engineering Solutions Ltd.,0.226,0.368,3.753,1.813,12.888,0.357,0.56,0.0,0
V0582,Trident Process Services Ltd.,0.23,0.809,2.234,0.777,8.496,0.432,0.346,4.0,1
V0583,Northgate Maritime Partners Ltd.,0.947,0.438,3.338,3.452,3.631,0.292,0.841,10.0,0
V0584,Coastline Integrated Solutions Ltd.,0.58,0.518,4.324,4.259,11.637,0.124,0.467,7.0,0
V0585,Warri Drilling Services Ltd.,1.237,0.54,4.613,2.493,3.694,0.48,0.613,3.0,0
V0586,Akwa Integrated Company Ltd.,0.419,0.31,3.38,3.79,0.0,0.13,0.867,6.0,0
V0587,Gulf Industrial Ltd.,0.164,0.44,3.381,4.108,2.252,0.247,0.811,9.0,0
V0588,Brass Industrial Partners Ltd.,0.8,0.665,3.447,2.132,6.171,0.155,0.928,9.0,0
V0589,Warri Marine Ltd.,1.753,0.474,1.71,2.739,5.034,0.174,0.569,5.0,0
V0590,Riverside Oilfield Partners Ltd.,0.523,0.0,4.002,1.545,7.436,0.218,0.746,8.0,0
V0591,Qua Iboe Industrial Company Ltd.,0.05,0.487,2.846,2.909,1.074,0.371,0.815,1.0,0
V0592,Highland Process Nig. Ltd.,0.884,0.365,4.065,4.184,7.899,0.079,0.839,6.0,0
V0593,Southfield Fabrication Nig. Ltd.,1.454,0.153,3.544,4.44,4.93,0.353,0.7,5.0,0
V0594,Warri Marine Services Ltd.,0.497,0.727,1.562,4.02,5.166,0.312,0.42,2.0,0
V0595,Northgate Engineering Systems Ltd.,0.358,0.321,5.087,1.917,6.339,0.058,0.821,2.0,0
V0596,Warri Petroleum Ltd.,1.177,0.484,4.39,2.721,6.866,0.179,0.262,7.0,0
V0597,Seabright Integrated Systems Ltd.,1.272,0.399,3.283,4.466,8.735,0.283,0.666,0.0,0
V0598,Highland Integrated Solutions Ltd.,1.096,1.0,2.617,3.472,7.817,0.378,0.569,3.0,1
V0599,Harcourt Drilling Group Ltd.,0.683,0.934,1.397,0.0,2.499,0.497,0.411,1.0,1
V0600,Brass Technical Services Ltd.,1.085,0.591,2.573,2.181,3.627,0.214,0.942,5.0,0
V0601,Meridian Energy Partners Ltd.,0.632,0.339,4.502,0.949,4.622,0.147,1.0,6.0,0
V0602,Beacon Maritime Group Ltd.,0.05,0.629,3.399,1.363,4.607,0.347,0.53,0.0,1
V0603,Beacon Offshore Company Ltd.,0.786,0.516,2.796,0.894,3.983,0.301,0.886,0.0,1
V0604,Westgate Industrial Systems Ltd.,0.541,0.404,3.747,1.56,3.713,0.271,0.59,4.0,0
V0605,Westfield Drilling Systems Ltd.,0.968,0.347,2.961,2.647,2.466,0.292,0.627,0.0,0
V0606,Delta Fabrication Services Ltd.,0.05,0.707,2.37,3.635,12.048,0.107,0.92,3.0,0
V0607,Pinnacle Engineering Partners Ltd.,0.05,0.641,1.374,1.187,1.172,0.457,0.177,2.0,1
V0608,Westfield Integrated Systems Ltd.,0.949,0.04,4.049,3.595,8.173,0.316,0.862,2.0,0
V0609,Calabar Subsea Nig. Ltd.,0.529,0.516,3.819,0.564,3.027,0.128,0.896,0.0,0
V0610,Atlas Energy Services Ltd.,0.421,0.298,4.645,2.606,9.253,0.483,0.947,4.0,1
V0611,Niger Offshore Services Ltd.,1.103,0.404,3.592,0.346,6.755,0.24,0.866,7.0,0
V0612,Bayelsa Energy Group Ltd.,0.691,0.918,3.82,1.232,4.166,0.34,0.617,3.0,1
V0613,Delta Subsea Systems Ltd.,0.113,0.673,3.291,0.339,9.329,0.386,1.0,2.0,1
V0614,Oceanic Integrated Partners Ltd.,0.05,0.529,2.81,2.715,6.083,0.398,0.829,0.0,0
V0615,Bonny Technical Group Ltd.,0.647,0.486,2.723,3.909,4.126,0.182,0.549,3.0,0
V0616,Meridian Subsea Systems Ltd.,0.757,0.38,4.251,2.922,4.879,0.177,0.623,0.0,0
V0617,Beacon Marine Partners Ltd.,1.557,0.511,4.196,3.427,9.049,0.092,0.784,1.0,0
V0618,Bonny Integrated Services Ltd.,0.05,0.664,3.482,2.815,7.585,0.328,0.731,5.0,0
V0619,Rivers Petroleum Group Ltd.,0.667,0.615,3.4,2.589,8.588,0.408,0.387,3.0,1
V0620,Bayelsa Pipeline Nig. Ltd.,0.941,0.706,3.598,1.621,2.367,0.307,0.789,4.0,1
V0621,Riverside Process Partners Ltd.,1.144,0.623,4.119,0.951,8.851,0.328,0.879,4.0,0
V0622,Atlas Industrial Partners Ltd.,1.176,0.408,4.007,1.927,7.244,0.34,0.469,2.0,0
V0623,Trident Process Company Ltd.,1.691,0.345,2.815,1.842,6.895,0.393,0.574,4.0,0
V0624,Akwa Drilling Ltd.,1.743,0.575,3.067,2.57,6.064,0.151,0.642,5.0,0
V0625,Akwa Marine Company Ltd.,0.341,0.48,3.723,0.543,2.81,0.351,0.306,2.0,1
V0626,Pinnacle Integrated Group Ltd.,1.329,0.366,2.817,0.936,11.696,0.031,1.0,3.0,0
V0627,Qua Iboe Process Nig. Ltd.,0.299,1.0,2.175,2.104,2.326,0.251,0.085,3.0,1
V0628,Primewell Integrated Nig. Ltd.,0.42,0.16,3.634,3.582,10.098,0.395,0.772,6.0,0
V0629,Riverside Pipeline Systems Ltd.,1.442,0.476,2.679,3.884,7.346,0.233,0.86,1.0,0
V0630,Forcados Technical Company Ltd.,1.781,0.478,3.535,4.095,6.921,0.212,0.706,0.0,0
V0631,Northgate Engineering Ltd.,0.422,0.785,2.019,0.796,7.531,0.437,0.223,0.0,1
V0632,Trident Pipeline Company Ltd.,1.21,0.387,3.835,3.996,5.98,0.36,0.645,0.0,1
V0633,Akwa Offshore Partners Ltd.,0.48,0.387,4.556,3.472,7.903,0.137,0.906,1.0,0
V0634,Crestline Integrated Partners Ltd.,0.96,0.0,3.771,3.159,8.073,0.334,0.459,7.0,0
V0635,Trident Marine Partners Ltd.,0.05,0.362,3.715,3.582,1.623,0.254,0.705,6.0,0
V0636,Escravos Petroleum Ltd.,0.224,0.447,2.614,4.214,4.705,0.222,0.739,0.0,0
V0637,Northgate Engineering Solutions Ltd.,1.233,0.287,2.986,3.782,0.807,0.097,0.985,0.0,0
V0638,Primewell Energy Solutions Ltd.,1.042,0.614,5.6,2.751,13.926,0.122,0.627,10.0,0
V0639,Northgate Fabrication Group Ltd.,0.738,0.761,4.131,3.69,5.102,0.44,0.564,1.0,0
V0640,Coastline Offshore Group Ltd.,1.685,0.571,2.476,2.702,10.077,0.192,0.404,7.0,0
V0641,Vanguard Pipeline Company Ltd.,0.325,0.998,2.817,0.873,1.341,0.345,0.277,3.0,1
V0642,Beacon Petroleum Systems Ltd.,0.819,0.331,2.693,3.198,9.638,0.242,0.679,7.0,0
V0643,Akwa Petroleum Group Ltd.,0.652,0.705,3.12,0.874,6.939,0.358,0.4,5.0,0
V0644,Beacon Industrial Company Ltd.,1.169,0.351,4.165,4.027,6.281,0.326,0.909,5.0,0
V0645,Riverside Subsea Systems Ltd.,0.388,0.658,3.561,2.495,11.55,0.262,0.661,3.0,0
V0646,Oceanic Energy Systems Ltd.,0.309,0.453,3.143,2.292,0.804,0.13,1.0,7.0,0
V0647,Highland Engineering Nig. Ltd.,0.126,0.868,1.0,0.172,6.523,0.406,0.277,0.0,1
V0648,Onne Pipeline Group Ltd.,1.778,0.31,3.574,4.578,4.991,0.326,0.794,6.0,0
V0649,Rivers Energy Solutions Ltd.,0.957,0.305,4.264,4.528,15.0,0.299,0.778,7.0,0
V0650,Vanguard Industrial Nig. Ltd.,0.412,0.551,4.474,3.277,12.639,0.086,0.67,3.0,1
V0651,Bayelsa Maritime Systems Ltd.,0.462,0.533,4.558,3.278,14.508,0.329,0.594,5.0,0
V0652,Bayelsa Oilfield Group Ltd.,0.613,0.135,3.357,0.484,11.29,0.245,0.396,9.0,0
V0653,Oceanic Petroleum Partners Ltd.,1.64,0.701,4.156,2.793,9.299,0.362,0.653,7.0,0
V0654,Bonny Fabrication Company Ltd.,0.532,0.234,2.958,3.638,7.729,0.221,0.904,1.0,0
V0655,Pinnacle Energy Company Ltd.,0.121,0.585,3.583,4.85,10.958,0.176,0.661,5.0,0
V0656,Eastport Pipeline Company Ltd.,0.05,0.444,2.105,1.669,5.248,0.142,0.783,5.0,0
V0657,Pinnacle Petroleum Group Ltd.,0.736,0.44,3.335,2.722,10.458,0.154,0.256,7.0,0
V0658,Beacon Marine Services Ltd.,0.385,0.703,2.87,0.944,3.493,0.437,0.519,6.0,1
V0659,Primewell Process Company Ltd.,1.255,0.212,3.431,1.891,7.791,0.24,0.772,3.0,0
V0660,Niger Maritime Group Ltd.,0.56,0.891,3.505,1.999,2.911,0.746,0.739,4.0,1
V0661,Primewell Drilling Systems Ltd.,1.313,0.518,4.519,2.84,6.539,0.108,0.661,3.0,0
V0662,Bayelsa Marine Nig. Ltd.,0.936,0.467,3.108,1.683,15.0,0.078,1.0,2.0,0
V0663,Harcourt Fabrication Partners Ltd.,0.591,0.635,1.824,2.201,1.663,0.344,0.349,0.0,1
V0664,Meridian Engineering Nig. Ltd.,1.048,0.728,3.577,2.745,8.324,0.355,0.548,6.0,0
V0665,Crestline Petroleum Services Ltd.,1.215,0.545,4.086,0.742,13.602,0.117,0.625,3.0,0
V0666,Westgate Industrial Group Ltd.,0.448,0.509,2.3,3.0,3.498,0.401,0.919,3.0,0
V0667,Pinnacle Energy Solutions Ltd.,1.042,0.914,4.501,3.362,11.547,0.325,0.59,0.0,1
V0668,Seabright Engineering Solutions Ltd.,0.052,0.636,3.678,2.066,9.025,0.48,0.421,8.0,1
V0669,Rivers Oilfield Services Ltd.,0.894,0.549,2.826,3.282,0.719,0.156,0.546,4.0,0
V0670,Atlas Maritime Services Ltd.,0.05,0.743,3.22,0.635,0.485,0.237,0.927,3.0,1
V0671,Bonny Marine Services Ltd.,1.195,0.083,4.447,2.949,6.715,0.14,0.711,0.0,0
V0672,Escravos Drilling Partners Ltd.,1.146,0.266,4.89,1.524,7.813,0.287,0.899,4.0,0
V0673,Gulf Maritime Nig. Ltd.,0.489,0.694,2.853,1.6,2.865,0.231,0.358,4.0,1
V0674,Eastport Fabrication Nig. Ltd.,0.942,0.269,4.101,1.067,4.505,0.0,0.613,0.0,0
V0675,Riverside Energy Ltd.,0.843,0.508,3.466,0.905,4.282,0.266,0.66,2.0,0
V0676,Highland Technical Systems Ltd.,1.486,0.122,3.391,2.478,7.724,0.173,0.681,5.0,0
V0677,Harcourt Petroleum Group Ltd.,0.523,0.485,2.801,1.519,2.617,0.393,0.495,6.0,1
V0678,Onne Energy Company Ltd.,0.768,0.752,4.209,1.831,4.573,0.443,0.495,1.0,1
V0679,Beacon Pipeline Group Ltd.,1.442,0.462,2.5,2.438,13.878,0.137,0.848,3.0,0
V0680,Seabright Process Solutions Ltd.,1.236,0.448,2.441,2.289,0.0,0.038,0.946,4.0,0
V0681,Akwa Energy Group Ltd.,0.195,0.741,3.588,2.866,1.65,0.389,0.334,2.0,1
V0682,Onne Fabrication Systems Ltd.,1.777,0.253,3.517,1.283,11.307,0.111,0.616,6.0,0
V0683,Meridian Engineering Partners Ltd.,0.36,0.541,1.0,1.96,5.602,0.441,0.569,2.0,1
V0684,Highland Engineering Group Ltd.,1.122,0.513,2.369,2.705,10.997,0.191,0.782,8.0,0
V0685,Primewell Drilling Partners Ltd.,0.779,0.529,3.494,1.933,9.904,0.13,0.817,2.0,0
V0686,Southfield Technical Ltd.,0.734,0.649,1.0,2.927,5.192,0.039,0.789,0.0,0
V0687,Meridian Engineering Ltd.,1.554,0.128,3.421,2.257,14.853,0.33,0.9,0.0,0
V0688,Bonny Pipeline Company Ltd.,1.153,0.63,1.805,0.243,7.488,0.468,0.479,2.0,1
V0689,Forcados Pipeline Partners Ltd.,0.272,1.0,1.94,0.0,2.047,0.356,0.5,0.0,1
V0690,Westfield Oilfield Group Ltd.,1.097,0.336,4.29,5.629,7.544,0.226,0.864,2.0,0
V0691,Anchor Maritime Nig. Ltd.,1.168,0.545,3.532,1.387,5.85,0.175,0.764,1.0,0
V0692,Warri Oilfield Services Ltd.,0.79,0.825,4.345,0.447,7.821,0.31,0.402,0.0,1
V0693,Anchor Technical Partners Ltd.,0.62,0.396,2.667,1.459,3.105,0.481,0.63,0.0,1
V0694,Niger Process Company Ltd.,1.99,0.514,4.272,3.875,15.0,0.193,0.872,0.0,0
V0695,Atlas Industrial Services Ltd.,0.181,0.602,3.236,0.275,7.006,0.138,0.572,8.0,0
V0696,Summit Energy Nig. Ltd.,0.805,0.355,2.813,3.579,10.907,0.131,0.617,2.0,0
V0697,Atlas Maritime Nig. Ltd.,1.042,0.439,3.996,0.663,10.401,0.448,0.535,4.0,1
V0698,Coastline Industrial Solutions Ltd.,0.443,0.391,3.903,4.0,6.386,0.341,0.734,4.0,0
V0699,Highland Subsea Partners Ltd.,0.663,0.385,4.015,1.712,4.142,0.306,0.721,0.0,0
V0700,Northgate Integrated Solutions Ltd.,0.769,0.416,3.774,0.0,3.543,0.29,0.924,4.0,0
V0701,Gulf Integrated Ltd.,0.984,0.182,3.311,0.0,4.375,0.04,0.775,6.0,0
V0702,Onne Industrial Group Ltd.,1.233,0.205,4.166,3.5,7.382,0.184,0.643,4.0,0
V0703,Gulf Pipeline Ltd.,0.757,0.449,3.01,3.157,10.316,0.309,0.846,6.0,0
V0704,Forcados Technical Systems Ltd.,0.447,0.256,1.786,1.845,6.941,0.125,0.364,0.0,0
V0705,Summit Offshore Solutions Ltd.,1.088,0.586,2.562,1.797,1.378,0.354,0.094,4.0,1
V0706,Eastport Petroleum Partners Ltd.,0.05,0.63,2.764,1.571,6.58,0.509,0.689,2.0,1
V0707,Anchor Technical Ltd.,1.332,0.53,3.475,4.015,9.516,0.309,0.654,6.0,0
V0708,Pinnacle Technical Ltd.,1.141,0.666,1.446,3.931,3.112,0.332,0.881,6.0,0
V0709,Crestline Subsea Services Ltd.,0.055,0.86,2.926,0.767,0.674,0.663,0.318,2.0,1
V0710,Delta Drilling Group Ltd.,1.121,0.337,4.388,3.905,7.848,0.062,0.932,8.0,0
V0711,Meridian Oilfield Ltd.,0.205,0.242,1.777,4.277,3.48,0.271,0.667,0.0,0
V0712,Calabar Industrial Partners Ltd.,1.23,0.477,4.745,2.863,7.872,0.138,0.602,1.0,0
V0713,Pinnacle Maritime Nig. Ltd.,0.6,0.817,2.19,0.0,0.0,0.488,0.381,0.0,1
V0714,Niger Integrated Services Ltd.,0.05,0.328,3.62,3.405,10.435,0.039,0.694,4.0,0
V0715,Northgate Energy Services Ltd.,0.35,0.897,1.205,1.625,3.654,0.435,0.842,3.0,1
V0716,Highland Energy Group Ltd.,2.057,0.692,3.106,2.345,9.747,0.427,1.0,9.0,0
V0717,Meridian Integrated Partners Ltd.,2.069,0.586,4.195,4.324,7.066,0.292,0.998,8.0,0
V0718,Qua Iboe Process Ltd.,1.9,0.282,4.226,2.884,5.573,0.19,0.547,4.0,0
V0719,Forcados Marine Company Ltd.,0.513,0.836,2.689,1.379,8.502,0.396,0.633,2.0,1
V0720,Harcourt Fabrication Nig. Ltd.,0.822,0.377,3.789,0.863,10.422,0.35,0.432,6.0,0
V0721,Onne Industrial Company Ltd.,1.051,0.322,3.259,2.417,7.74,0.536,0.982,3.0,0
V0722,Delta Fabrication Systems Ltd.,1.09,0.0,2.208,1.399,4.559,0.277,0.887,1.0,0
V0723,Meridian Maritime Ltd.,0.274,0.0,3.985,1.906,8.903,0.158,0.878,7.0,0
V0724,Trident Technical Company Ltd.,0.638,1.0,2.684,0.0,7.546,0.518,0.478,3.0,1
V0725,Warri Industrial Systems Ltd.,1.809,0.131,2.317,0.086,6.83,0.148,0.677,2.0,0
V0726,Coastline Petroleum Group Ltd.,1.152,0.639,4.095,2.424,10.787,0.27,0.808,2.0,1
V0727,Highland Integrated Group Ltd.,0.347,0.325,2.953,2.683,13.215,0.36,0.63,2.0,0
V0728,Meridian Industrial Partners Ltd.,1.197,0.241,5.133,4.847,4.405,0.354,0.499,7.0,0
V0729,Rivers Integrated Services Ltd.,0.73,0.671,2.613,1.976,9.209,0.374,0.616,0.0,1
V0730,Rivers Marine Services Ltd.,0.781,0.989,1.987,0.213,6.013,0.745,0.654,2.0,1
V0731,Calabar Maritime Ltd.,0.825,0.184,5.6,2.755,6.499,0.196,0.724,7.0,0
V0732,Forcados Process Nig. Ltd.,1.255,0.697,3.221,1.16,9.422,0.383,0.758,3.0,0
V0733,Rivers Maritime Company Ltd.,0.994,0.387,2.871,0.706,4.949,0.335,0.896,2.0,1
V0734,Brass Subsea Solutions Ltd.,0.607,0.082,4.492,2.616,5.346,0.086,0.857,2.0,0
V0735,Primewell Industrial Partners Ltd.,0.809,0.471,2.828,2.439,6.552,0.236,0.75,3.0,0
V0736,Pinnacle Process Services Ltd.,0.251,0.648,2.423,2.067,8.308,0.186,0.743,2.0,1
V0737,Vanguard Petroleum Company Ltd.,1.969,0.315,3.92,3.613,11.639,0.305,0.949,5.0,0
V0738,Summit Energy Group Ltd.,0.958,0.017,3.304,1.838,0.0,0.29,0.926,0.0,0
V0739,Akwa Drilling Solutions Ltd.,0.561,0.75,2.298,0.869,7.111,0.446,0.984,6.0,1
V0740,Westgate Subsea Services Ltd.,0.05,0.943,2.493,0.0,9.264,0.456,0.859,3.0,1
V0741,Trident Industrial Ltd.,0.645,0.716,4.333,2.127,1.436,0.472,0.261,4.0,1
V0742,Riverside Drilling Services Ltd.,0.648,0.281,2.927,2.883,6.423,0.202,0.602,1.0,0
V0743,Delta Marine Systems Ltd.,0.054,0.394,3.092,2.718,3.019,0.083,0.971,0.0,0
V0744,Summit Oilfield Solutions Ltd.,0.229,0.411,1.963,2.795,4.682,0.3,0.85,2.0,0
V0745,Summit Pipeline Solutions Ltd.,0.349,0.398,3.078,3.838,5.764,0.223,0.52,5.0,0
V0746,Westgate Petroleum Company Ltd.,1.534,0.38,3.47,2.039,7.969,0.461,0.704,4.0,0
V0747,Delta Offshore Ltd.,1.637,0.382,3.785,3.031,8.852,0.367,0.688,1.0,0
V0748,Southfield Pipeline Group Ltd.,1.348,0.234,3.376,3.47,6.786,0.29,1.0,0.0,0
V0749,Bonny Oilfield Group Ltd.,1.563,0.296,3.406,1.339,8.341,0.374,0.798,0.0,0
V0750,Niger Engineering Partners Ltd.,0.676,0.548,3.74,2.476,10.506,0.247,0.666,4.0,0
V0751,Trident Maritime Partners Ltd.,0.05,0.388,1.65,3.597,5.319,0.469,0.63,4.0,1
V0752,Highland Engineering Systems Ltd.,1.194,0.309,3.855,3.304,7.391,0.295,0.808,3.0,0
V0753,Calabar Technical Partners Ltd.,1.307,0.312,3.905,3.883,5.391,0.325,0.864,7.0,0
V0754,Trident Technical Ltd.,0.657,0.286,3.608,2.015,8.755,0.197,0.842,7.0,0
V0755,Trident Energy Partners Ltd.,0.803,0.594,2.592,0.559,7.85,0.081,0.852,2.0,0
V0756,Rivers Process Group Ltd.,0.661,0.674,2.927,3.213,0.0,0.232,0.471,2.0,0
V0757,Warri Technical Partners Ltd.,1.158,0.18,4.069,3.633,11.446,0.105,0.607,6.0,0
V0758,Anchor Energy Services Ltd.,0.872,0.206,1.837,2.914,3.335,0.266,0.554,1.0,0
V0759,Anchor Energy Group Ltd.,1.254,0.788,3.177,2.86,8.16,0.364,0.685,5.0,0
V0760,Riverside Pipeline Solutions Ltd.,0.546,0.756,2.956,0.664,2.589,0.348,0.832,3.0,1
V0761,Westgate Engineering Group Ltd.,0.543,0.478,3.108,3.641,7.397,0.267,0.628,5.0,0
V0762,Beacon Maritime Ltd.,0.956,0.333,2.057,2.583,6.27,0.286,0.773,3.0,0
V0763,Westgate Energy Nig. Ltd.,0.611,0.374,3.442,1.789,7.335,0.035,0.826,3.0,0
V0764,Akwa Fabrication Ltd.,0.996,0.95,2.752,0.276,4.264,0.599,0.563,4.0,1
